MATCHNO,TEAMA,TEAMB,SCOREA,SCOREB,OVA,OVB,RESULT,WIN_BY,DATE,HREF
59,Clutchers,Tectonics,65/5,66/4,12,8.5,Tectonics,6 WICKETS,02/03/2025,https://cricheroes.com/scorecard/15679799/iiser-premier-league-2025/clutchers-vs-tectonics/summary
58,Resonance,MightyChondria,128/6,76/10,12,12,Resonance,52 RUNS,02/03/2025,
57,Faculty 11,Maratha Warriors,88/7,89/6,12,12,Maratha Warriors,4 WICKETS,02/03/2025,
56,Admin XI,Dadagiri,93/7,82/10,12,11.4,Admin XI,11 RUNS,02/03/2025,
55,H-Cross,LKG XI,79/4,82/2,12,9,LKG XI,8 WICKETS,02/03/2025,
54,Saandpapers,Dadagiri,73/6,76/3,12,10.3,Dadagiri,7 WICKETS,01/03/2025,
53,Maratha Warriors,Bioharzard,88/7,74/10,12,10.3,Maratha Warriors,14 RUNS,01/03/2025,
52,Tectonics,Saandpapers,80/3,83/1,12,7,Saandpapers,9 WICKETS,28/02/2025,
51,EigenVictors,The Mambas,77/8,78/5,12,11.5,The Mambas,5 WICKETS,28/02/2025,
50,Faculty 11,EigenVictors,143/2,70/10,12,11.4,Faculty 11,73 RUNS,16/02/2025,
49,Tech Stars,Alchemist,88/7,89/8,12,11.1,Alchemist,2 WICKETS,16/02/2025,
48,Smashers 2025,Gardening Team,53/10,54/1,12,6.5,Gardening Team,9 WICKETS,15/02/2025,
47,Admin XI,Tectonics,134/6,85/7,12,12,Admin XI,49 RUNS,15/02/2025,
46,H-Cross,MightyChondria,60/6,61/2,12,3.4,MightyChrondria,8 WICKETS,15/02/2025,
45,H-1,Tectonics,101/9,78/10,12,11.5,H-1,23 RUNS,14/02/2025,
44,Gardening Team,Strong Wall,92/9,54/10,12,11.5,Gardening Team,38 RUNS,14/02/2025,
43,MightChondria,LKG XI,99/9,100/7,12,11.3,LKG XI,3 WICKETS,09/02/2025,
42,Strong Wall,Baddies Daddies,189/4,69/10,12,10.5,Strong Wall,120 RUNS,09/02/2025,
41,Faculty 11,Furious XI (2025),96/3,85/10,12,11.5,Faculty 11,11 RUNS,09/02/2025,
40,The Mambas,Bioharzard,80/6,81/2,12,8.3,Biohazard,8 WICKETS,09/02/2025,
39,Beta Smashers,Baddies Daddies,97/5,96/5,12,12,Beta Smashers,1 RUN,08/02/2025,
38,Admin XI,Saandpapers,97/7,99/2,12,10.3,Saandpapers,8 WICKETS,08/02/2025,
37,Strong Wall,Beta Smashers,142/8,71/9,12,12,Strong Wall,71 RUNS,08/02/2025,
36,Resonance,Tech Stars,106/7,96/8,12,12,Resonance,10 RUNS,08/02/2025,
35,H-Cross,Alchemist,93/6,96/2,12,6.5,Alchemist,8 WICKETS,08/02/2025,
34,The Mambas,Maratha Warriors,73/9,74/1,12,5.3,Maratha Warriors,9 WICKETS,07/02/2025,
33,Clutchers,H-1,76/8,78/9,12,9.4,H-1,1 WICKET,07/02/2025,
32,Smashers 2025,Baddies Daddies,141/2,69/7,12,12,Smashers 2025,72 RUNS,02/02/2025,
31,EigenVictors,Furious XI (2025),71/5,72/0,12,5.1,Furious XI (2025),10 WICKETS,02/02/2025,
30,Faculty 11,Bioharzard,74/8,76/4,12,9.4,Biohazard,6 WICKETS,02/02/2025,
29,Alchemist,Resonance,122/5,80/3,12,12,Alchemist,42 RUNS,02/02/2025,
28,Beta Smashers,Zeher,25/9,30/0,12,0.5,Zeher,10 WICKETS,02/02/2025,
27,Tectonics,Dadagiri,48/10,49/1,11.3,5,Dadagiri,9 WICKETS,01/02/2025,
26,Clutchers,Saandpapers,71/8,75/7,12,10.1,Saandpapers,3 WICKETS,01/02/2025,
25,Zeher,Gardening Team,105/6,108/3,12,11.2,Gardening Team,7 WICKETS,01/02/2025,
24,Maratha Warriors,Furious XI (2025),69/8,72/2,12,6,Furious XI (2025),8 WICKETS,01/02/2025,
23,Tech Stars,LKG XI,107/7,83/6,12,12,Tech Stars,24 RUNS,01/02/2025,
22,Admin XI,H-1,132/4,69/10,12,11,Admin XI,63 RUNS,31/01/2025,
21,Furious XI (2025),The Mambas,112/8,63/6,12,12,Furious XI (2025),49 RUNS,26/01/2025,
20,Strong Wall,Zeher,120/6,66/10,12,11.3,Strong Wall,54 RUNS,26/01/2025,
19,H-Cross,Tech Stars,72/5,73/1,12,6.1,Tech Stars,9 WICKETS,26/01/2025,
18,Admin XI,Clutchers,104/8,36/10,12,8.4,Admin XI,68 RUNS,26/01/2025,
17,Smashers 2025,Beta Smashers,138/3,64/8,12,12,Smashers 2025,74 RUNS,25/01/2025,
16,Gardening Team,Baddies Daddies,125/5,59/6,12,12,Gardening Team,66 RUNS,25/01/2025,
15,Alchemist,MightyChondria,111/6,72/9,12,12,Alchemist,39 RUNS,25/01/2025,
14,Resonance,LKG XI,127/8,61/10,12,10.1,Resonance,66 RUNS,25/01/2025,
13,Dadagiri,H-1,121/2,63/10,12,11.1,Dadagiri,58 RUNS,25/01/2025,
12,EigenVictors,Bioharzard,81/5,82/3,12,10.4,Biohazard,7 WICKETS,24/01/2025,
11,Zeher,Baddies Daddies,144/9,56/5,12,12,Zeher,88 RUNS,19/01/2025,
10,Strong Wall,Smashers 2025,128/6,49/10,12,9.2,Strong Wall,79 RUNS,19/01/2025,
9,Faculty 11,The Mambas,173/1,115/1,12,12,Faculty 11,58 RUNS,19/01/2025,
8,Tech Stars,MightyChondria,87/9,88/6,12,11.3,MightyChrondria,4 WICKETS,19/01/2025,
7,Biohazard,Furious XI (2025),104/6,105/3,12,11.4,Furious XI (2025),7 WICKETS,19/01/2025,
6,Resonance,H-Cross,147/6,59/8,12,12,Resonance,88 RUNS,18/01/2025,
5,Clutchers,Dadagiri,58/8,61/1,12,6,Dadagiri,9 WICKETS,18/01/2025,
4,Gardening Team,Beta Smashers,169/1,65/9,12,12,Gardening Team,104 RUNS,18/01/2025,
3,EigenVictors,Maratha Warriors,82/7,83/2,12,7.1,Maratha Warriors,8 WICKETS,18/01/2025,
2,H-1,Saandpapers,73/4,74/2,12,6.1,Saandpapers,8 WICKETS,18/01/2025,
1,Alchemist,LKG XI,157/3,69/9,12,12,Alchemist,88 RUNS,17/01/2025,
